fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 222002	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	36	TRUE	671017	0.22676499050745	0.719052673857659	4828	376	10668	25470000	1
20221018 222020	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	52	TRUE	671017	0.182384336770279	0.5891532068979	5389	598	12259	24370000	2
20221018 222052	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	105	TRUE	671017	0.099840129252465	0.723285818127915	3139	255	10206	25590000	3
20221018 222152	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	106	TRUE	671017	0.123532827648276	0.669307016413659	137	531	8982	24840000	4
20221018 222237	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	213	TRUE	671017	0.0698922060873592	0.890453731175512	5764	500	7309	25790000	5
20221018 222258	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	53	TRUE	671017	0.270234798372374	0.334294350966811	1145	796	11118	23610000	6
20221018 222328	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	108	TRUE	671017	0.117964977533498	0.427896328726783	4772	860	5193	23860000	7
20221018 222351	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	92	TRUE	671017	0.293558102366514	0.761193333761767	1702	693	14226	21550000	8
20221018 222410	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	35	TRUE	671017	0.179595653725031	0.945435672607273	1265	136	5830	24260000	9
20221018 222427	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	29	TRUE	671017	0.219776174139464	0.379697397015989	6518	653	7923	25440000	10
20221018 222528	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	248	TRUE	671017	0.0376765375988325	0.461790258930996	3884	281	13178	24290000	11
20221018 222543	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	42	TRUE	671017	0.276901581451995	0.219542958540842	6373	910	13830	22740000	12
20221018 222559	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	36	TRUE	671017	0.242085627961729	0.625515401521698	4304	94	9331	25660000	13
20221018 222712	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	344	TRUE	671017	0.0302535722597968	0.252814573133364	2519	1010	9978	25650000	14
20221018 222741	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	174	TRUE	671017	0.0888028502411325	0.842802674891427	7504	168	11979	24930000	15
20221018 223040	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1327	TRUE	671017	0.0116583858904778	0.99518835500814	7038	928	6134	25180000	16
20221018 223109	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	45	TRUE	671017	0.15725580684474	0.50254293506965	673	348	14841	20960000	17
20221018 223156	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	121	TRUE	671017	0.0565196822989383	0.54924321631901	2368	33	6765	25910000	18
20221018 223218	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	71	TRUE	671017	0.13949900582165	0.28863959540613	7893	430	12831	23460000	19
20221018 223240	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	61	TRUE	671017	0.198138930836285	0.836335877776146	3439	747	8419	26450000	20
20221018 223622	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1104	TRUE	671017	0.00682183385379137	0.77667104445747	3585	899	8345	26350000	21
20221018 223709	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	170	TRUE	671017	0.0397799923401856	0.307589675225357	3048	481	8125	26150000	22
