Feature	Gain	Cover	Frequency
ctrx_quarter	0.170184394881158	0.0646392773042869	0.0461272999584285
mcaja_ahorro	0.0504522556365524	0.0222858047701825	0.0318961737119948
cpayroll_trx	0.0291347232123053	0.0226656294223614	0.00620155921663316
mtarjeta_visa_consumo	0.0289155034071867	0.0193844394746557	0.0247379001258535
mpasivos_margen	0.028786305058052	0.016166245506345	0.0266057710377504
mpayroll	0.0262459817399301	0.0387088765250627	0.00906600759676767
mprestamos_personales	0.0256677854669641	0.0134493581180858	0.00537582360009339
mcuentas_saldo	0.0196765787236702	0.0220279622088186	0.0214520418448642
mrentabilidad_annual	0.0110149682408832	0.00797859183845358	0.0094190807569433
mactivos_margen	0.00973557198659446	0.0102695545104339	0.0101878690895838
cdescubierto_preacordado	0.00940228014119679	0.00351961294057079	0.00122436660383483
Visa_status	0.00918056242247797	0.011275065304023	0.00297264821954317
ctarjeta_visa_transacciones	0.00916709322017587	0.0151604389543035	0.0183313306871829
Visa_msaldopesos	0.00863644440252502	0.00916829106144274	0.014766430715087
mtransferencias_recibidas	0.00767527607618016	0.00483595958702836	0.00537582360009339
Visa_fechaalta	0.00661563626874183	0.0121436022506499	0.0176081001816618
Master_Fvencimiento	0.00656946429643593	0.00606667559708743	0.00587126497001726
mcuenta_corriente	0.00655751477850576	0.00686824609274037	0.00569472838992944
Master_fechaalta	0.00649008467681144	0.0131793255124007	0.0166001332566443
Visa_mpagominimo	0.00618232380081099	0.00643650270003629	0.00818901942471854
cliente_edad	0.00606812052275053	0.0296578582576875	0.0197493180562753
Visa_Fvencimiento	0.00605355619075734	0.00429931900731348	0.00635531688316126
cprestamos_personales	0.00581789512012941	0.00275724756872635	0.0025911014174179
mcuenta_debitos_automaticos	0.00578333392933133	0.00780214337349462	0.00559791800730064
chomebanking_transacciones	0.00566305510362554	0.00723131642826551	0.00625281177214253
cproductos	0.00542294602063393	0.0254740683256894	0.0143564102710121
canarito96	0.00488157539565529	0.00550025990630446	0.00466398255135221
mrentabilidad	0.00487879608594864	0.00285501514995552	0.00410589916913913
canarito9	0.00487262072714607	0.00365755628145604	0.00444188814414497
canarito28	0.00479023140728352	0.00326695871329338	0.00478357184754073
canarito21	0.0045569944844459	0.00303170227714053	0.0044874459712644
canarito62	0.00454045055710199	0.00530071487587108	0.00588834915518704
canarito84	0.004539893270395	0.00367779974850083	0.00448175124287447
mcomisiones	0.00453825399384184	0.0059296851922196	0.00873571335015176
canarito93	0.00452406877272084	0.00339452824081699	0.00430521466278666
mtarjeta_master_consumo	0.00444373790612295	0.00944494911323094	0.00498858206957819
mautoservicio	0.00442094688060732	0.0141415739243384	0.0222151354491148
canarito37	0.00441610726408154	0.00225815118359606	0.00344531067590731
canarito82	0.00436950281782336	0.00459398121214986	0.00587126497001726
canarito56	0.00436379740829503	0.00401278901799307	0.00533596050136389
canarito33	0.00433181211696194	0.00528520582791345	0.00523345539034516
cliente_antiguedad	0.00432618399604453	0.0160484508527688	0.0146810097892381
ccomisiones_mantenimiento	0.00429128015575284	0.0116182821397292	0.00472662456364144
canarito7	0.00424490569309272	0.00223260804482346	0.0040033940581204
canarito22	0.00423121702879014	0.00917526079779067	0.0089748919425288
canarito17	0.00422385989083905	0.00283342820870522	0.00419132009498807
Visa_mpagospesos	0.00420245051779496	0.00575166315526302	0.00992591158364702
canarito90	0.00414500326632167	0.00216430953888925	0.00376421546574336
canarito73	0.00410625531207781	0.00184812376961379	0.00374713128057357
canarito67	0.00409979368241137	0.00245326840167767	0.00383255220642252
canarito3	0.00409629024607232	0.00479281425264093	0.00569472838992944
canarito69	0.00405835080430421	0.0052875222218156	0.00486899277338967
mcomisiones_otras	0.00404735397427609	0.00850905460647972	0.00920268107812598
canarito60	0.00404480193667169	0.00270494970925845	0.00363893144116491
canarito88	0.00404333680078789	0.00378488828867813	0.00407173079879955
canarito11	0.00403633370901492	0.00375887353507605	0.00444758287253489
canarito32	0.00403242594525559	0.00281841133021855	0.00388949949032181
ccallcenter_transacciones	0.00402426356484147	0.00897930483614429	0.00377560492252322
canarito48	0.00401858705056425	0.00400938151520578	0.00383824693481244
canarito26	0.00401585067833477	0.0054151619776976	0.00526762376068473
canarito1	0.00395747742820582	0.00804265608824327	0.00617308557468352
canarito20	0.0039404275860745	0.0020713129183321	0.00368448926828435
canarito12	0.00392436545029258	0.00268397655244118	0.00345100540429724
canarito47	0.00391881230750384	0.00336246357107314	0.00377560492252322
canarito85	0.00390838780479812	0.00322841533474802	0.00420270955176793
canarito2	0.00390636558180176	0.0022550091782612	0.00367879453989442
canarito72	0.00388430862009278	0.00374383667291017	0.003712962910234
canarito64	0.00387591830992428	0.0027329788177254	0.00384394166320237
canarito71	0.00386869126619291	0.00269329979523837	0.00384394166320237
canarito6	0.00386443194233529	0.00726468289196966	0.00393505731744125
canarito70	0.00386117502059178	0.00207447719119522	0.00350795268819654
canarito51	0.00385313605297796	0.00274593680629066	0.00378129965091315
canarito31	0.00382733192343633	0.00331104613541523	0.00389519421871174
canarito95	0.00381893282918544	0.00267525795868081	0.00343961594751738
tcallcenter	0.00381462737953905	0.00303458677849465	0.0020501022203746
canarito78	0.00380614831545422	0.00263060357103152	0.00362754198438505
Visa_msaldototal	0.00379017846365984	0.00588617158717235	0.0109452679654444
canarito94	0.00376750073845164	0.00177537689668632	0.00311501642929141
canarito14	0.00375161674564106	0.00419338723668159	0.00344531067590731
canarito43	0.00370774457042916	0.00242857199994152	0.00363893144116491
canarito59	0.00368866021260969	0.00256024731710043	0.00379838383608294
canarito49	0.00367228846241435	0.00425508427692769	0.00441341450219532
canarito18	0.00366287767531303	0.00235741639884183	0.00351364741658647
canarito13	0.00365996110882121	0.00388129755068294	0.00422548846532765
canarito10	0.00365719653068915	0.00226867287618389	0.00367309981150449
canarito65	0.00365358646848871	0.00446918484833902	0.00471523510686158
canarito39	0.00364943640446153	0.00230178126494503	0.0036560156263347
canarito98	0.00363987265927544	0.00195197952145637	0.00343392121912745
canarito55	0.00362300660999784	0.00252192661383776	0.00355351051531597
canarito87	0.00360226852810528	0.00326258228754529	0.00386102584837216
canarito16	0.00358094258966247	0.00331483675388118	0.00374143655218364
canarito41	0.00356011361385078	0.00311787989538727	0.00395783623100096
canarito30	0.00354942826489011	0.00534827603240276	0.00567194947636973
canarito23	0.00353771056361879	0.00254770042136473	0.00339975284878788
canarito4	0.00351987118400139	0.00199165112143398	0.00333141610810872
canarito86	0.00351078718350455	0.0024702967802179	0.00367879453989442
canarito58	0.00350594796534424	0.00228540835108305	0.00373574182379371
canarito53	0.00349781834070053	0.00551310027664349	0.00488607695855946
canarito34	0.00348337715434578	0.00285048285150956	0.00353073160175625
canarito50	0.0034760572318138	0.0029764439783375	0.00353073160175625
canarito25	0.00346467279642606	0.00262588570984999	0.00408881498396934
canarito68	0.00344762513404063	0.00247293576779881	0.00343961594751738
canarito77	0.00343439163359737	0.00375090804054096	0.00370726818184407
canarito99	0.00342808532071979	0.00251058102270401	0.00398061514456068
numero_de_cliente	0.00340087303812513	0.00532016242152084	0.00819471415310847
canarito42	0.00339746002782679	0.00198013995124388	0.00335988975005837
canarito8	0.00339703228404198	0.00242676947207633	0.00338836339200802
canarito76	0.00337916870235225	0.00375746440021027	0.00374713128057357
canarito52	0.00335487398953475	0.00185310027670059	0.00322321626870006
canarito54	0.00333964952614242	0.00203765526387368	0.00351364741658647
canarito80	0.00332329725060824	0.00386149029880731	0.00345670013268717
active_quarter	0.00330485317123503	0.000136497664434612	5.1252555509365e-05
canarito83	0.00330361819559251	0.00217263017195211	0.00313210061446119
canarito61	0.00328663555382966	0.00189928826898907	0.00334850029327851
canarito100	0.00325463902883306	0.00264185038569372	0.00355351051531597
canarito89	0.0032255916905795	0.00203785452970357	0.00360476307082534
canarito63	0.00321224198242132	0.00187934056039666	0.00316626898480077
canarito38	0.00318363799796123	0.00361190670658184	0.00373574182379371
canarito57	0.00316685747939011	0.0036039760407448	0.00416854118142835
canarito15	0.00316509385673917	0.00187124945416364	0.00343392121912745
canarito40	0.00312799146939698	0.00349063546378452	0.00412867808269885
canarito29	0.00312267942443077	0.00228958265618993	0.00322891099708999
canarito24	0.00311569791503251	0.00201779605443208	0.00321182681192021
canarito44	0.00311379481837494	0.00213438540667046	0.00340544757717781
canarito97	0.00308977389169572	0.0021902158096613	0.00350225795980661
Master_status	0.0030831253845158	0.00311101121935994	0.000643504308062027
canarito46	0.00308194677818608	0.00254502032450086	0.00330863719454901
canarito36	0.00307309275895062	0.00271375394735831	0.00338836339200802
canarito5	0.00306934716367434	0.00220070667028691	0.00312640588607126
Master_mfinanciacion_limite	0.0030406270518905	0.00562345529192905	0.0082402719802279
ctarjeta_visa	0.00303313124660336	0.0033235701926604	0.0015091030233313
