fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 032829	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	22	TRUE	671017	0.22676499050745	0.719052673857659	4828	376	10668	23790000	1
20221019 032910	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	27	TRUE	671017	0.182384336770279	0.5891532068979	5389	598	12259	23970000	2
20221019 032945	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	61	TRUE	671017	0.099840129252465	0.723285818127915	3139	255	10206	24710000	3
20221019 033049	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	60	TRUE	671017	0.123532827648276	0.669307016413659	137	531	8982	24600000	4
20221019 033124	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	110	TRUE	671017	0.0698922060873592	0.890453731175512	5764	500	7309	23710000	5
20221019 033144	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	21	TRUE	671017	0.270234798372374	0.334294350966811	1145	796	11118	21770000	6
20221019 033215	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	66	TRUE	671017	0.117964977533498	0.427896328726783	4772	860	5193	23620000	7
20221019 033232	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	8	TRUE	671017	0.293558102366514	0.761193333761767	1702	693	14226	20110000	8
20221019 033254	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	20	TRUE	671017	0.179595653725031	0.945435672607273	1265	136	5830	24020000	9
20221019 033315	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	34	TRUE	671017	0.219776174139464	0.379697397015989	6518	653	7923	23840000	10
20221019 033441	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	239	TRUE	671017	0.0376765375988325	0.461790258930996	3884	281	13178	23730000	11
20221019 033456	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	23	TRUE	671017	0.276901581451995	0.219542958540842	6373	910	13830	21220000	12
20221019 033513	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	23	TRUE	671017	0.242085627961729	0.625515401521698	4304	94	9331	24140000	13
20221019 033618	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	112	TRUE	671017	0.0302535722597968	0.252814573133364	2519	1010	9978	24770000	14
20221019 033646	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	70	TRUE	671017	0.0888028502411325	0.842802674891427	7504	168	11979	23650000	15
20221019 033923	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	626	TRUE	671017	0.0116583858904778	0.99518835500814	7038	928	6134	23740000	16
20221019 033958	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	26	TRUE	671017	0.15725580684474	0.50254293506965	673	348	14841	19520000	17
20221019 034100	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	116	TRUE	671017	0.0565196822989383	0.54924321631901	2368	33	6765	25190000	18
20221019 034132	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	104	TRUE	671017	0.13949900582165	0.28863959540613	7893	430	12831	22660000	19
20221019 034151	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	32	TRUE	671017	0.198138930836285	0.836335877776146	3439	747	8419	23890000	20
20221019 034825	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1089	TRUE	671017	0.0051027584020836	0.372520407155503	2359	45	8637	25050000	21
20221019 040152	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1485	TRUE	671017	0.00518071380162739	0.453642753686195	782	524	7070	26020000	22
20221019 041803	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2783	TRUE	671017	0.00559485300616176	0.206034587161573	0	563	6713	24900000	23
20221019 043029	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1561	TRUE	671017	0.00508974419087074	0.572709139791164	1512	667	7490	26060000	24
20221019 044303	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1374	TRUE	671017	0.00500240217831541	0.591622916812962	996	468	7287	26310000	25
20221019 044958	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	489	TRUE	671017	0.00500154713299424	0.757016027055478	621	476	7059	25810000	26
20221019 045843	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1259	TRUE	671017	0.00533450317617234	0.569065878770186	1159	387	7687	26230000	27
20221019 050449	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	779	TRUE	671017	0.00504974996274582	0.544186649249645	3937	573	9386	24830000	28
20221019 050550	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	94	TRUE	671017	0.0430451516515408	0.58025224173856	1157	436	7293	25740000	29
20221019 051532	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1210	TRUE	671017	0.00501970126022194	0.593784505264932	549	154	7304	26040000	30
20221019 052328	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1028	TRUE	671017	0.00501010680423077	0.592929613876549	1142	376	6023	25400000	31
20221019 053500	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	940	TRUE	671017	0.00502142547124352	0.58942575945484	649	529	8136	26530000	32
20221019 055202	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1098	TRUE	671017	0.00521696098089622	0.58367644409547	9	942	8464	25960000	33
20221019 060705	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1192	TRUE	671017	0.0050104426251782	0.593400358142155	508	533	9257	26930000	34
20221019 061950	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1289	TRUE	671017	0.00501103907688004	0.600040821809489	391	542	9977	26050000	35
20221019 062648	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	779	TRUE	671017	0.00530708224462375	0.681917110972736	912	481	9069	26670000	36
20221019 062704	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	33	TRUE	671017	0.279147839848873	0.769638906722079	7983	16	5012	22300000	37
20221019 063519	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	638	TRUE	671017	0.00525904516862297	0.559236763471772	437	423	8995	26810000	38
20221019 064120	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	543	TRUE	671017	0.00532281949987524	0.401931119508615	720	626	9196	26250000	39
20221019 070211	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2258	TRUE	671017	0.00515436813639294	0.998841139004412	0	446	9215	24770000	40
20221019 070234	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	26	TRUE	671017	0.289729745121459	0.201879705735261	2137	31	5003	20560000	41
20221019 070256	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	54	TRUE	671017	0.138564678237878	0.630284304693537	7989	1024	9371	24300000	42
20221019 070907	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1409	TRUE	671017	0.00510873867424033	0.278457299668148	7997	16	6115	23050000	43
20221019 071519	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1555	TRUE	671017	0.00517618072675615	0.997893272817507	7543	1024	14968	21510000	44
20221019 072222	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	766	TRUE	671017	0.00538363264951781	0.596209953018132	980	767	9110	26500000	45
20221019 072250	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	49	TRUE	671017	0.141894493606289	0.57561786455925	6159	16	9274	24420000	46
20221019 073304	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	829	TRUE	671017	0.005610823008021	0.608474887048872	629	348	9251	27020000	47
20221019 073855	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1345	TRUE	671017	0.00505679722357531	0.609148353002139	772	22	9273	26500000	48
20221019 073909	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	19	TRUE	671017	0.286235432456542	0.999157567328248	8000	1024	7334	23980000	49
20221019 074130	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	626	TRUE	671017	0.016540383810745	0.202013785509409	7022	1024	7104	24440000	50
20221019 074654	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	934	TRUE	671017	0.00646276378575513	0.994176876771123	2146	1024	5004	23360000	51
20221019 074715	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	27	TRUE	671017	0.299194310702927	0.999973497319936	7994	16	9637	23690000	52
20221019 074738	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	70	TRUE	671017	0.16917036798436	0.211321362603928	7997	1024	5948	23470000	53
20221019 074755	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	15	TRUE	671017	0.299869615054342	0.981357787120968	2343	1022	5826	22030000	54
20221019 075447	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	624	TRUE	671017	0.00507494256300304	0.595083046775636	818	302	9257	26290000	55
20221019 080238	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	785	TRUE	671017	0.00521725132360818	0.735432288403397	590	171	9022	26360000	56
20221019 080916	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	851	TRUE	671017	0.00508849838672983	0.786456528576327	1279	669	8755	25770000	57
20221019 081749	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	999	TRUE	671017	0.00558931182137924	0.629466798281995	633	646	9041	26480000	58
20221019 081837	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	115	TRUE	671017	0.0269022085763632	0.753104638599178	49	16	8366	25270000	59
20221019 082546	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1617	TRUE	671017	0.0056030208493119	0.501628093590104	556	16	9384	26680000	60
20221019 083401	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1530	TRUE	671017	0.00507287733724239	0.282664617501671	1099	1020	7900	26200000	61
