Feature	Gain	Cover	Frequency
ctrx_quarter	0.106946209520969	0.0381625248948922	0.031178573521655
mcaja_ahorro	0.0552715879681168	0.0171055478919129	0.019281486256813
mtarjeta_visa_consumo	0.0441014139698363	0.0150112266690464	0.0182265721151029
cpayroll_trx	0.0336502040889777	0.0154430905541513	0.00322334876633652
mpasivos_margen	0.025983179443069	0.0123854010653598	0.0164683818789193
mpayroll	0.0251756537331406	0.0250698956466328	0.0103147160522769
mprestamos_personales	0.0191687622028195	0.0203815311348774	0.00509875168493231
mcuentas_saldo	0.0157572189888917	0.0155327032062937	0.013831096524644
cdescubierto_preacordado	0.010953434435583	0.00560485135460111	0.00128933950653461
mrentabilidad_annual	0.0107402707184646	0.00353826260263039	0.00339916778995487
mactivos_margen	0.00947765026467758	0.0074246074966553	0.00574342143819961
Visa_status	0.00881895481275495	0.0109825781449636	0.00216843462462638
mautoservicio	0.00831990616350057	0.00846528477391298	0.0104905350758952
ctarjeta_visa_transacciones	0.00676372353746426	0.0148375206210525	0.0198675496688742
Visa_msaldototal	0.00636481075356473	0.00505830162448916	0.00832210045126883
mcomisiones_mantenimiento	0.00601500337132766	0.00175440671399608	0.00117212682412237
Visa_fechaalta	0.00579823885249542	0.00358292198746269	0.00597784680302409
cprestamos_personales	0.00539364336839542	0.00296591930918981	0.0025200726718631
mcuenta_debitos_automaticos	0.00469347802968824	0.00739279651039645	0.00556760241458126
mtransferencias_recibidas	0.0042402805228321	0.00461019894051783	0.00386801851960382
Visa_mconsumototal	0.00389478131974771	0.00113214999044882	0.00181679657738967
Visa_mpagospesos	0.0038178276609292	0.00606082077075339	0.00937701459297896
cproductos	0.00354776388402231	0.011222214218106	0.00562620875578738
Master_status	0.00331631182276695	0.00474435987558019	0.00117212682412237
mtarjeta_master_consumo	0.00330283522073171	0.0040212692067431	0.0015823712125652
ccomisiones_mantenimiento	0.00328395432033528	0.0128387147874137	0.00421965656684053
Master_fechaalta	0.00289140345530269	0.00761816853156603	0.00703276094473422
ccallcenter_transacciones	0.00287011874377347	0.00403725713032362	0.00140655218894684
mcomisiones_otras	0.00283778782173363	0.00459560158280802	0.00562620875578738
Visa_Fvencimiento	0.00273838288326524	0.00179612727405007	0.00281310437789369
canarito192	0.00269066666087616	0.00476315043449808	0.00240285998945086
cliente_edad	0.00253897134564638	0.010372155567048	0.00550899607337514
tcallcenter	0.00249996323780078	0.0020314984673312	0.000820488776885659
mcuenta_corriente	0.0024725317134514	0.00326184462863469	0.0031647424251304
mcomisiones	0.00247067034135305	0.00266292289061372	0.0053917833909629
mrentabilidad	0.00245855425766907	0.00135238982005433	0.00246146633065698
Visa_msaldopesos	0.00244535646122036	0.00596385388879989	0.0106077477583074
Master_msaldototal	0.0023973281772661	0.00302692859480093	0.00257867901306921
Visa_mpagominimo	0.00238629751827264	0.00500303021506105	0.00445408193166501
Master_Fvencimiento	0.00232368462569609	0.00214665022358364	0.00210982828342027
canarito157	0.002211210073715	0.00593974118988715	0.00351638047236711
canarito42	0.00214724879815909	0.00254107993209164	0.00310613608392428
canarito118	0.00214294695603015	0.00282652941638165	0.00246146633065698
chomebanking_transacciones	0.00210560473433517	0.00388394724307772	0.00228564730703862
canarito429	0.00203739307938327	0.00220182486683002	0.00210982828342027
canarito418	0.00202818039955705	0.0015334070906674	0.00187540291859579
canarito72	0.00198980846501039	0.00528359838307294	0.0022270409658325
canarito156	0.00197702293274258	0.00304641443665417	0.00257867901306921
canarito478	0.00195601275297951	0.00351484877058566	0.0022270409658325
canarito59	0.00192961777576393	0.00176168926515403	0.0022270409658325
cliente_antiguedad	0.00191652729600454	0.00735355244780809	0.00644669753267304
canarito315	0.0019151014784636	0.00334505996098531	0.00240285998945086
canarito336	0.00188409879580852	0.00162297315168529	0.00193400925980191
canarito10	0.00187971373738814	0.00214315230531092	0.0022270409658325
ccaja_ahorro	0.00186259242296467	0.00909605692145202	0.00199261560100803
canarito203	0.001838171612105	0.00106549601090376	0.00210982828342027
canarito433	0.00181218187124985	0.00106335281917519	0.00193400925980191
canarito448	0.00177653351122258	0.00222938172502563	0.00187540291859579
canarito112	0.00175462290140231	0.00198024106247834	0.00169958389497744
canarito334	0.00174595140285703	0.00214335300553969	0.00228564730703862
canarito434	0.00174172225437846	0.00585279498364114	0.00269589169548145
canarito128	0.00172475360820921	0.00257997993714499	0.00210982828342027
canarito187	0.00172410038328732	0.00248499138601786	0.00205122194221415
canarito290	0.00170545255405164	0.00353308023600913	0.00175819023618355
canarito147	0.0016985584238993	0.00216467382091304	0.00187540291859579
canarito60	0.00168813631705058	0.00257115987887741	0.00210982828342027
canarito460	0.00168506745237286	0.00192924170077675	0.00169958389497744
canarito94	0.00167931275408659	0.00196487674318005	0.00193400925980191
canarito360	0.00166203912357879	0.00169728599531723	0.00210982828342027
canarito145	0.00165509134763254	0.00175533853648676	0.00169958389497744
ccomisiones_otras	0.00163281633629003	0.00531039903147804	0.00638809119146692
canarito269	0.00162330032616508	0.00447498791318712	0.00205122194221415
canarito133	0.00161138850197177	0.00198052777709086	0.00181679657738967
canarito317	0.0015974527531083	0.00130714625419903	0.00169958389497744
canarito486	0.00159717029056343	0.00160482411671292	0.00199261560100803
canarito4	0.00158944564284116	0.00112537277379543	0.00175819023618355
canarito283	0.00157936868405499	0.00196869721539184	0.00199261560100803
ccajas_transacciones	0.00157924831240372	0.00166528147669494	0.000820488776885659
canarito35	0.00157797070497791	0.0027476398907474	0.00210982828342027
Master_mfinanciacion_limite	0.00157628522990187	0.00170399511725015	0.00310613608392428
Visa_mlimitecompra	0.00157172592878739	0.00235084478668612	0.00187540291859579
canarito46	0.00157039234889428	0.00259692477074479	0.00187540291859579
canarito253	0.0015658123469691	0.0025692675624348	0.00164097755377132
canarito164	0.0015466558058244	0.00112364173432236	0.00187540291859579
canarito379	0.00153712992805713	0.000935270233898197	0.00193400925980191
canarito110	0.00153395611801638	0.00379231683684971	0.00339916778995487
canarito444	0.00153213478896317	0.000727692438368006	0.00175819023618355
canarito134	0.00153204748683096	0.00176219818359125	0.00193400925980191
canarito256	0.0015244366953688	0.00163067860689671	0.00187540291859579
canarito76	0.00152228485019797	0.00134960510438025	0.00175819023618355
canarito11	0.00149662639599043	0.000892374143932886	0.0015823712125652
canarito151	0.00149385216225692	0.00237386438613864	0.00164097755377132
canarito408	0.00148974451905863	0.0010741870475957	0.00181679657738967
canarito457	0.00148835250317584	0.00128735936200264	0.00169958389497744
canarito199	0.00148709661937139	0.00092375864220561	0.0015823712125652
canarito16	0.00147817600883722	0.00138110787243063	0.00193400925980191
canarito325	0.00147094524067916	0.00152432182138325	0.00193400925980191
canarito372	0.00146050265192443	0.00113240803360009	0.00152376487135908
canarito432	0.00144134609581438	0.00185020164997092	0.00164097755377132
canarito386	0.00144078959344586	0.00103696790695824	0.00164097755377132
canarito189	0.0014397319245471	0.000884643601192876	0.00140655218894684
canarito193	0.00143178393250402	0.00112769157822417	0.00187540291859579
canarito477	0.00141419561055035	0.00110111671757643	0.00164097755377132
canarito81	0.00141367967386104	0.00411695662473824	0.0022270409658325
canarito5	0.00139800219487787	0.00148252599874347	0.00175819023618355
canarito410	0.00138433357504365	0.00125124407262338	0.00146515853015296
thomebanking	0.00138286032871572	0.0020018736799928	0.000937701459297896
canarito364	0.00138032639578871	0.000820924862493464	0.00140655218894684
canarito497	0.00137965759815276	0.00210559627500375	0.00205122194221415
canarito314	0.00137691896684808	0.00154421623155932	0.00187540291859579
canarito115	0.00137540158212003	0.00119803342447274	0.00187540291859579
canarito40	0.00136527835761134	0.000998075069770209	0.00146515853015296
canarito482	0.00136504012089403	0.00126307463432239	0.00169958389497744
canarito168	0.0013643920076994	0.00169833608758558	0.00169958389497744
canarito383	0.00135789195193839	0.002102463917862	0.00146515853015296
canarito202	0.00135438503811956	0.00339883687049567	0.00175819023618355
canarito331	0.00135226033274872	0.00188104497441251	0.00140655218894684
canarito231	0.00133991710960234	0.00143560515240494	0.00134794584774073
canarito284	0.00133735340092888	0.0015212217196354	0.00181679657738967
mextraccion_autoservicio	0.00133638282838073	0.00205608782928725	0.00322334876633652
canarito92	0.00132982902600418	0.00116860216949779	0.00134794584774073
canarito490	0.00132520221469763	0.00105506676687342	0.00164097755377132
canarito294	0.00131674750712238	0.000624951840904929	0.00146515853015296
canarito330	0.00131586605991658	0.00125873807580806	0.00152376487135908
canarito225	0.00131561149635508	0.00168269938940539	0.00181679657738967
canarito332	0.00131212716299612	0.00354470292961407	0.0015823712125652
ccaja_seguridad	0.00130348430264885	0.00410636610373836	0.000879095118091778
canarito141	0.00130264034004328	0.000943724731034814	0.00152376487135908
canarito210	0.00129893347469601	0.00127100587729116	0.00146515853015296
canarito276	0.00129884055506567	0.00102181145575402	0.0015823712125652
canarito179	0.00129652425706055	0.000766653370276511	0.00146515853015296
canarito484	0.00129462296024096	0.00228887859105572	0.00169958389497744
canarito279	0.00129334946909558	0.00105199175265417	0.00164097755377132
canarito27	0.00128915864662061	0.000921981011607999	0.00181679657738967
canarito425	0.00128245184508657	0.00114771500997588	0.00146515853015296
canarito370	0.00128123205966131	0.00185793577664358	0.00181679657738967
ccajas_consultas	0.00127718913379768	0.00728780520322511	0.00105491414171013
canarito77	0.00127313805558016	0.00140605204371968	0.00193400925980191
canarito417	0.00127059647040794	0.00164536197899027	0.00164097755377132
canarito498	0.00126738551606715	0.00159995713616543	0.0015823712125652
