fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 214103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	102191	0.223125602138753	0.742656474355608	289	496	10325	23590000	1
20221018 214118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	102191	0.229090896983282	0.516493951147422	3017	98	13144	23320000	2
20221018 214201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	102191	0.0918821595194749	0.443545754551887	3989	545	8790	26020000	3
20221018 214219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	102191	0.295486206716858	0.648863569181412	5710	649	6082	2.4e+07	4
20221018 214236	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	102191	0.257220714092662	0.762573864702135	2041	413	11616	23890000	5
20221018 214309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	195	TRUE	102191	0.0602107780878432	0.627261158768088	7392	234	9672	25940000	6
20221018 214338	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	102191	0.140509922730213	0.83197834555991	6230	994	7421	26360000	7
20221018 214355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	102191	0.191629000578076	0.368256743066013	2686	955	11393	24740000	8
20221018 214450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	102191	0.0246735930744326	0.588917160974816	5225	806	9039	25770000	9
20221018 214507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	102191	0.171174606640532	0.215653228452429	1525	207	12500	23960000	10
