Feature	Gain	Cover	Frequency
ctrx_quarter	0.155415140928841	0.0480930970782901	0.0464647627821281
mpasivos_margen	0.0692447119430847	0.0216543366442484	0.0263127590971902
mcaja_ahorro	0.0483469910433087	0.0194721546517249	0.0255066789497927
mcuentas_saldo	0.0407596387468169	0.0218618434391272	0.0222823583602027
mpayroll	0.0302499660129213	0.0294054242810528	0.0128397052049747
cpayroll_trx	0.0302011570063876	0.0200251191000283	0.00523952095808383
cprestamos_personales	0.0297222350144438	0.00911240117265084	0.00535467526485491
ccomisiones_otras	0.0270718124965501	0.00996676069027619	0.0115154306771073
ctarjeta_visa_transacciones	0.0264914095405069	0.017829861710524	0.0271764163979733
mrentabilidad	0.0189919837438263	0.0145817183827992	0.0192307692307692
mtarjeta_visa_consumo	0.018576447104206	0.0130579502958035	0.0199792722247812
Visa_msaldototal	0.0184659811395401	0.0110028189178061	0.0171004145555044
mrentabilidad_annual	0.0176777323840087	0.0205251559919514	0.0232035928143713
Master_fechaalta	0.0169093228571543	0.0253043936855366	0.0325886688162137
Visa_Fvencimiento	0.016304159060128	0.0206721152010246	0.0289037309995394
mtransferencias_recibidas	0.0159172030277731	0.0104048022257732	0.0158912943344081
mactivos_margen	0.0158548339953512	0.015347753401482	0.0206126209120221
mprestamos_personales	0.0148734856837336	0.028269385951976	0.00834868724090281
mcuenta_corriente	0.014714951683885	0.0188004520303568	0.0223399355135882
mautoservicio	0.014139766025482	0.0129455382508849	0.0173307231690465
Visa_fechaalta	0.0134340314275099	0.0139298509183382	0.0198065407646246
Master_Fvencimiento	0.0128530478038663	0.0177915727237511	0.0214187010594196
Visa_mpagospesos	0.0120635783079328	0.0137741806063285	0.0211883924458775
chomebanking_transacciones	0.0120208610082606	0.0172360484491332	0.0199792722247812
cliente_antiguedad	0.0113441547185474	0.0163124582190097	0.0213611239060341
Visa_mpagominimo	0.0106794918697804	0.0103385334980952	0.0170428374021188
cliente_edad	0.0105593906277573	0.0233057743201658	0.0174458774758176
mcomisiones_otras	0.010323126335595	0.013822922217219	0.0185398433901428
numero_de_cliente	0.0102880307090702	0.0136377649441655	0.019633809304468
Visa_mconsumospesos	0.0102879702779065	0.0122997835957105	0.0240672501151543
Visa_status	0.0101824424629631	0.0115274504251254	0.00224550898203593
cproductos	0.00995106715812284	0.0152533335784052	0.0116881621372639
mcomisiones_mantenimiento	0.00938311679629525	0.00806162744084291	0.00852141870105942
cdescubierto_preacordado	0.00905141320959701	0.0102069367439396	0.00282128051589129
Master_mfinanciacion_limite	0.00863149275490922	0.0126111801722176	0.0197489636112391
Visa_msaldopesos	0.00861480837962102	0.00718760062377372	0.0137033625057577
cextraccion_autoservicio	0.00799167786187644	0.00409066889419116	0.00593044679871027
mcomisiones	0.00733787649316174	0.00780638268282254	0.0150276370336251
mcuenta_debitos_automaticos	0.00729640550057636	0.0122781754443478	0.00944265315522801
Master_status	0.00676945303273025	0.00560661412399346	0.0010939659143252
mpagomiscuentas	0.00667737377145063	0.014364143637156	0.0120912022109627
mttarjeta_visa_debitos_automaticos	0.00650831571071324	0.0119821448197888	0.0141064025794565
Visa_mfinanciacion_limite	0.00624962456059297	0.00963924630026677	0.0140488254260709
mcaja_ahorro_dolares	0.0060027376460259	0.00850108527368605	0.0128972823583602
Visa_mlimitecompra	0.00568311405275606	0.00868909262658431	0.0105366190695532
Visa_cconsumos	0.00565262171193869	0.00828305941111035	0.0128397052049747
Master_mlimitecompra	0.00549218121547361	0.00766594893263303	0.0120912022109627
ccomisiones_mantenimiento	0.005396078703768	0.0159434515623038	0.00604560110548135
Visa_mconsumototal	0.00514028571032488	0.00468362538311324	0.011054813450023
Master_msaldototal	0.00508408906674397	0.00883772691325956	0.0103063104560111
tcallcenter	0.00457726457361292	0.00388680250804648	0.00259097190234915
ctransferencias_recibidas	0.00435254199048628	0.0155823726737058	0.0075426070935053
Master_msaldopesos	0.00417116140470953	0.00615943169701647	0.00702441271303547
mtarjeta_master_consumo	0.0040596519898785	0.00755855862348991	0.00483648088438508
ccallcenter_transacciones	0.00391121494494314	0.00848376448169719	0.00316674343620451
ctarjeta_visa	0.0038720728222492	0.0027043725725647	0.00166973744818056
ctarjeta_debito_transacciones	0.00370483251690182	0.0104908606489619	0.0168701059419622
mtransferencias_emitidas	0.0036961012987021	0.00918736701514331	0.00967296176877015
Master_mpagospesos	0.00312854828985013	0.0149041830607893	0.00673652694610779
ctarjeta_visa_debitos_automaticos	0.00311471872547793	0.00774604491884601	0.0081759557807462
ccaja_ahorro	0.00308203564237936	0.0118773143369602	0.0029940119760479
Visa_mpagado	0.00301768473956539	0.0045581239530918	0.00483648088438508
mextraccion_autoservicio	0.00267658175099964	0.00597733082860623	0.00823353293413174
cmobile_app_trx	0.00266669245572638	0.00344409243685292	0.00426070935052971
Master_mconsumototal	0.00265672353856076	0.00604374293453404	0.00662137263933671
thomebanking	0.00263399146777253	0.00289022225765414	0.00218793182865039
ctransferencias_emitidas	0.00259115182577809	0.00535413901411668	0.00546982957162598
ccajas_transacciones	0.00256807490125453	0.00442149846909972	0.00195762321510825
ccaja_seguridad	0.00253677894380318	0.00711892244209207	0.0017273146015661
Master_mconsumospesos	0.00247850133814506	0.0069944526360635	0.00621833256563796
ccuenta_debitos_automaticos	0.00240232396823116	0.00427247950907119	0.00736987563334869
Visa_mconsumosdolares	0.00217623580053148	0.00409348400373104	0.00489405803777061
ctarjeta_master_transacciones	0.00198061879872122	0.00212573992050641	0.00213035467526485
Visa_fultimo_cierre	0.00189576737653116	0.0024544887622768	0.00322432058959005
Master_cconsumos	0.0018761554453609	0.00443887171654584	0.00420313219714417
Master_mpagominimo	0.00185854007945751	0.00413216815494864	0.00431828650391525
