fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 044038	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	59	TRUE	671017	0.22676499050745	0.719052673857659	4828	376	10668	24270000	1
20221019 044055	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	66	TRUE	671017	0.182384336770279	0.5891532068979	5389	598	12259	23490000	2
20221019 044116	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	61	TRUE	671017	0.099840129252465	0.723285818127915	3139	255	10206	25110000	3
20221019 044220	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	64	TRUE	671017	0.123532827648276	0.669307016413659	137	531	8982	25400000	4
20221019 044247	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	110	TRUE	671017	0.0698922060873592	0.890453731175512	5764	500	7309	25950000	5
20221019 044316	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	114	TRUE	671017	0.270234798372374	0.334294350966811	1145	796	11118	24090000	6
20221019 044341	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	104	TRUE	671017	0.117964977533498	0.427896328726783	4772	860	5193	23700000	7
20221019 044359	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	70	TRUE	671017	0.293558102366514	0.761193333761767	1702	693	14226	21310000	8
20221019 044414	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	31	TRUE	671017	0.179595653725031	0.945435672607273	1265	136	5830	24340000	9
20221019 044433	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	62	TRUE	671017	0.219776174139464	0.379697397015989	6518	653	7923	25440000	10
20221019 044520	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	189	TRUE	671017	0.0376765375988325	0.461790258930996	3884	281	13178	24450000	11
20221019 044533	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	42	TRUE	671017	0.276901581451995	0.219542958540842	6373	910	13830	22900000	12
20221019 044547	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	30	TRUE	671017	0.242085627961729	0.625515401521698	4304	94	9331	24460000	13
20221019 044653	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	242	TRUE	671017	0.0302535722597968	0.252814573133364	2519	1010	9978	26210000	14
20221019 044717	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	141	TRUE	671017	0.0888028502411325	0.842802674891427	7504	168	11979	24770000	15
20221019 044951	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1269	TRUE	671017	0.0116583858904778	0.99518835500814	7038	928	6134	25100000	16
20221019 045013	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	39	TRUE	671017	0.15725580684474	0.50254293506965	673	348	14841	21280000	17
20221019 045055	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	168	TRUE	671017	0.0565196822989383	0.54924321631901	2368	33	6765	25830000	18
20221019 045120	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	139	TRUE	671017	0.13949900582165	0.28863959540613	7893	430	12831	24260000	19
20221019 045133	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	37	TRUE	671017	0.198138930836285	0.836335877776146	3439	747	8419	25250000	20
20221019 050034	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2502	TRUE	671017	0.00503530733446462	0.287600020701853	2542	573	8424	26600000	21
20221019 050900	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	3800	TRUE	671017	0.00510145978846726	0.26474763498942	6423	410	8644	25520000	22
20221019 051545	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1548	TRUE	671017	0.00500599244670086	0.624411331410824	1931	923	8025	26670000	23
20221019 052157	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1237	TRUE	671017	0.00513430910533508	0.201539700408196	1212	855	7971	26940000	24
20221019 053803	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2419	TRUE	671017	0.00520994357514107	0.281806149279581	16	1013	8073	25620000	25
20221019 053920	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	370	TRUE	671017	0.0278588591813809	0.200695282099492	1688	741	7716	26730000	26
20221019 054302	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1147	TRUE	671017	0.00739636433565756	0.219278159644641	1479	809	8900	26680000	27
