Feature	Gain	Cover	Frequency
ctrx_quarter	0.213026592541906	0.0556945701323131	0.0186470668299986
ctrx_quarter_rank	0.0870835509658603	0.0388546623331189	0.0155619073544758
cpayroll_trx	0.031518968496555	0.0440750652637011	0.00830270858853954
mpayroll	0.030859874390959	0.075934434633731	0.0130665577786852
mprestamos_personales	0.0289516805123568	0.0238155663136388	0.0139285876321401
mpasivos_margen	0.02894648009083	0.0160765094430507	0.0210063064289279
mtarjeta_visa_consumo	0.028338533143508	0.0188710625025541	0.0128850778095368
mcuentas_saldo	0.0235688857977503	0.0103939274699375	0.0171498570845243
mcaja_ahorro_rank	0.0233061890065467	0.00938093954476618	0.0122498979175174
mrentabilidad_annual	0.0208042994708335	0.0188164127782323	0.0308515947552289
mcaja_ahorro	0.0194454255090453	0.0121598125274751	0.0150628374393176
mactivos_margen	0.0148759363750535	0.0162363973692514	0.0242729458735992
Master_fechaalta	0.0148475659397651	0.0159363994832372	0.0294904949866159
cliente_edad	0.0142848267912743	0.0381832893858085	0.0335284243001679
chomebanking_transacciones	0.0137678113693999	0.0175507359115021	0.0270858853953995
mcuenta_corriente	0.0136861752220716	0.0137029030839248	0.0238192459507282
Visa_fechaalta	0.0133506699240231	0.00782642253313329	0.0214600063517989
Master_Fvencimiento	0.013304286159396	0.0124804250577814	0.0266321854725285
mtransferencias_recibidas	0.0128038898389754	0.0106170975600118	0.0172859670613856
mrentabilidad	0.0127800774060637	0.00829469649938026	0.0200989065831859
mcuentas_saldo_rank	0.012586909466364	0.0147464999847123	0.018374846876276
Visa_status	0.0123282963730475	0.0161363777167867	0.00612494895875868
Visa_Fvencimiento	0.012138616001813	0.0108009315742793	0.0265414454879543
cdescubierto_preacordado	0.0116528551000902	0.00607598548114664	0.00494532915929404
ctarjeta_visa_transacciones	0.0114010081696625	0.0134178066146112	0.0121591579329432
cliente_antiguedad	0.0107536616238166	0.0140384536737597	0.0233201760355701
Visa_mpagominimo	0.0105120762050295	0.00911879064645769	0.0177850369765437
numero_de_cliente	0.0102687208309212	0.00729287242245836	0.0234562860124314
mcomisiones	0.0102152669176897	0.00619803968748663	0.0182841068917018
Visa_mpagospesos	0.00912612122037396	0.00782681338996478	0.0168776371308017
cproductos	0.00842546229414742	0.0349011363218823	0.0159248672927726
mcomisiones_otras	0.00837942544226972	0.011680115159614	0.0166961571616533
Master_mfinanciacion_limite	0.00823354485272636	0.00748143946866971	0.0195998366680278
cprestamos_personales	0.00796393353269685	0.00591163323707374	0.00476384919014564
mcuenta_debitos_automaticos	0.00757910732187795	0.0154566135618752	0.0113424980717753
Visa_mconsumospesos	0.00717080578777583	0.00463440471883163	0.0158794973004855
Visa_msaldopesos	0.0071489625540191	0.00652900992382747	0.0127035978403884
Visa_mfinanciacion_limite	0.00696104222728764	0.00650829756532745	0.0156980173313371
Visa_msaldototal	0.0069048448737092	0.00446486446103449	0.00984528832630098
ccallcenter_transacciones	0.00674383103817072	0.0104698025523507	0.00961843836486548
mtarjeta_master_consumo	0.0063871892588728	0.0129294645929224	0.00598883898189737
mttarjeta_visa_debitos_automaticos	0.00544957711291749	0.00973475658433525	0.0121137879406561
ccomisiones_mantenimiento	0.00529542638714677	0.0130636567360216	0.00821196860396534
mautoservicio	0.00524841887846545	0.00734015388479277	0.00979991833401388
Visa_cconsumos	0.0051053231164334	0.0036752084650942	0.0111156481103398
mcomisiones_mantenimiento	0.00510187190480372	0.0048316286331467	0.00798511864252983
mcaja_ahorro_dolares	0.00500500885438292	0.00430693692612923	0.0112971280794882
mpagomiscuentas	0.00436858204874151	0.00967286990149287	0.00916473844199446
ccomisiones_otras	0.00429306616138162	0.00515655280287541	0.00930084841885577
Master_status	0.00426945862674119	0.00639919049153059	0.00272219953722608
ccaja_ahorro	0.00422671954741577	0.0228086672050455	0.00793974865024273
Visa_mlimitecompra	0.00403560390964279	0.00593782369835263	0.00875640851141055
tcallcenter	0.00398988582676104	0.00395027701382486	0.00435551925956173
ctransferencias_recibidas	0.00326135775490812	0.00810969296818727	0.00766752869652012
mtransferencias_emitidas	0.00317259831207945	0.00767509681439743	0.00793974865024273
ctarjeta_debito_transacciones	0.00312245772260833	0.00506798098057679	0.0067601288507781
internet	0.00310347960562898	0.00225193384891034	0.00303978948323579
Master_msaldopesos	0.00306915394663195	0.0025652330814712	0.00449162923642303
ctarjeta_visa	0.0029798372637735	0.00484783697737758	0.00149720974547434
ccaja_seguridad	0.00290254548971931	0.00889887566093318	0.00403792931355202
Master_mconsumospesos	0.00288700137756791	0.00936306395186346	0.00780363867338143
Master_mlimitecompra	0.00288101499725996	0.00366611188305505	0.0069869788122136
ccajas_consultas	0.00282677861303116	0.0120172658196028	0.00526291910530375
Master_mpagospesos	0.00266202550194084	0.00745963393246912	0.00630642892790708
Master_msaldototal	0.00264621979462821	0.0049629687428036	0.00462773921328433
Visa_mconsumototal	0.00263090200178805	0.00160700480910551	0.00603420897418448
ctarjeta_visa_debitos_automaticos	0.00253318265494269	0.00594980590309302	0.00648790889705549
ctarjeta_debito	0.00244767083188632	0.00249670183249347	0.00617031895104578
ctarjeta_master	0.00234420208673599	0.000359026428276286	0.000907399845742026
Visa_mpagado	0.00232819206111158	0.00311367544813972	0.00562587904360056
cmobile_app_trx	0.00231418505691436	0.00149499073762443	0.00485458917471984
thomebanking	0.00230357286044672	0.0034261135742437	0.00449162923642303
Master_cconsumos	0.00219934706886548	0.00417573728064615	0.00508143913615535
mextraccion_autoservicio	0.00204712058502345	0.0025863393503717	0.00480921918243274
ccajas_transacciones	0.00193007891225113	0.00263668048884012	0.00326663944467129
tmobile_app	0.00184900142575298	0.00884648863123742	0.00317589946009709
active_quarter	0.00174145016872263	0.000200851554282345	0.00122498979175174
ctarjeta_master_transacciones	0.0017191079497564	0.00144259149365269	0.00208701964520666
Visa_mconsumosdolares	0.00166127189698666	0.00195886756451713	0.00403792931355202
Master_fultimo_cierre	0.0016144917023106	0.00127783007133433	0.0033120094369584
Master_mpagominimo	0.00160799039961432	0.00507964866771059	0.00367496937525521
ccuenta_debitos_automaticos	0.00155133674637752	0.00269282035483199	0.003584229390681
ctransferencias_emitidas	0.00153148168253719	0.00373680200531296	0.00394718932897781
matm	0.00151957252012813	0.00232670659291593	0.00376570935982941
cplazo_fijo	0.00143135076527047	0.0117900650184537	0.00322126945238419
cpagomiscuentas	0.00138763522954688	0.00162639191866125	0.00267682954493898
ccajas_otras	0.00137659407646904	0.00752009154502136	0.00272219953722608
Visa_fultimo_cierre	0.00128365503440676	0.00151178231353356	0.00281293952180028
matm_other	0.00123137828167419	0.0031639768902112	0.00294904949866159
cextraccion_autoservicio	0.00107016938710743	0.00128433111972686	0.00285830951408738
Master_mconsumototal	0.00102513426501683	0.00273474585714737	0.00276756952951318
Visa_msaldodolares	0.000924416945191528	0.00496199770786286	0.00267682954493898
mplazo_fijo_dolares	0.000703496031697985	0.00488265377107023	0.00199627966063246
Visa_mpagosdolares	0.000652733988577671	0.00165111972039104	0.00167868971462275
mcheques_depositados	0.000621568964799431	0.00921664531850421	0.00213238963749376
mttarjeta_master_debitos_automaticos	0.000599129538741738	0.00124284227777791	0.00149720974547434
mtarjeta_master_descuentos	0.000596278124927984	0.00585339862275061	0.00186016968377115
catm_trx	0.000586648666749255	0.000559432161485212	0.00154257973776144
mprestamos_prendarios	0.000540767155707576	0.00791903422721364	0.00186016968377115
Master_mconsumosdolares	0.000476811027593236	0.000884567027474649	0.00113424980717753
ctarjeta_master_debitos_automaticos	0.000381455429598833	0.00112629060276875	0.00122498979175174
catm_trx_other	0.000377819481817843	0.000435732081456359	0.00113424980717753
Master_mpagado	0.000343435586730471	0.000938633520118215	0.000998139830316229
Visa_Finiciomora	0.000248254414051091	0.00148848358209391	0.000771289868880722
mtarjeta_visa_descuentos	0.000228135623180115	0.000674447891289377	0.000725919876593621
cseguro_vivienda	0.000183025048163535	0.000276195315690192	0.000499069915158114
mforex_sell	0.000173325199496167	0.000355362145481059	0.000453699922871013
Visa_delinquency	0.000156309004418095	0.000374266791135432	0.000317589946009709
ccajas_depositos	0.000148782243766507	0.000964533892342474	0.000408329930583912
Master_msaldodolares	0.000139942984695311	0.000215380435565418	0.000317589946009709
cinversion2	0.00012795099511224	0.00195778660109253	0.000453699922871013
ccheques_emitidos	0.000112471522686562	0.00164812722277494	0.00036295993829681
Master_mpagosdolares	9.08973881108756e-05	3.01081903007772e-05	0.000181479969148405
ctarjeta_visa_descuentos	9.08325838291815e-05	0.000121574796007621	0.000226849961435507
ccajas_extracciones	7.4763560206906e-05	0.000144278081493045	0.000226849961435507
mcaja_ahorro_adicional	7.1819906082497e-05	0.000325663133425749	0.000272219953722608
cseguro_accidentes_personales	6.49533212404938e-05	2.88470663054201e-05	0.000136109976861304
ccheques_depositados	6.37527075021976e-05	0.000495462944587546	0.000181479969148405
cforex_sell	4.52150573549323e-05	7.55239219786128e-05	0.000136109976861304
mcajeros_propios_descuentos	3.94438319714507e-05	0.000103079328598716	0.000136109976861304
ccajeros_propios_descuentos	2.65212589771077e-05	0.000181498033985557	9.07399845742026e-05
Visa_madelantodolares	2.28569500415189e-05	4.53607674359072e-05	4.53699922871013e-05
cseguro_vida	2.18410918534102e-05	5.87995245874002e-05	9.07399845742026e-05
mcheques_emitidos	1.51737260948918e-05	0.000229271120928322	4.53699922871013e-05
ctarjeta_master_descuentos	1.41870471587472e-05	8.75488766849475e-05	4.53699922871013e-05
Master_delinquency	9.37083706564969e-06	1.33196679606481e-05	4.53699922871013e-05
minversion2	8.72430401629074e-06	0.000108566592084567	4.53699922871013e-05
