fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 235008	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	28	TRUE	671017	0.22676499050745	0.719052673857659	4828	376	10668	24830000	1
20221018 235028	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	78	TRUE	671017	0.182384336770279	0.5891532068979	5389	598	12259	23890000	2
20221018 235055	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	84	TRUE	671017	0.099840129252465	0.723285818127915	3139	255	10206	25750000	3
20221018 235145	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	78	TRUE	671017	0.123532827648276	0.669307016413659	137	531	8982	25240000	4
20221018 235215	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	186	TRUE	671017	0.0698922060873592	0.890453731175512	5764	500	7309	25470000	5
20221018 235234	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	37	TRUE	671017	0.270234798372374	0.334294350966811	1145	796	11118	23850000	6
20221018 235255	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	65	TRUE	671017	0.117964977533498	0.427896328726783	4772	860	5193	24020000	7
20221018 235307	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	22	TRUE	671017	0.293558102366514	0.761193333761767	1702	693	14226	21710000	8
20221018 235323	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	22	TRUE	671017	0.179595653725031	0.945435672607273	1265	136	5830	25460000	9
20221018 235353	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	157	TRUE	671017	0.219776174139464	0.379697397015989	6518	653	7923	25360000	10
20221018 235446	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	210	TRUE	671017	0.0376765375988325	0.461790258930996	3884	281	13178	24370000	11
20221018 235502	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	69	TRUE	671017	0.276901581451995	0.219542958540842	6373	910	13830	22260000	12
20221018 235515	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	31	TRUE	671017	0.242085627961729	0.625515401521698	4304	94	9331	25500000	13
20221018 235658	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	422	TRUE	671017	0.0302535722597968	0.252814573133364	2519	1010	9978	26050000	14
20221018 235724	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	159	TRUE	671017	0.0888028502411325	0.842802674891427	7504	168	11979	24610000	15
20221019 000039	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1389	TRUE	671017	0.0116583858904778	0.99518835500814	7038	928	6134	25260000	16
20221019 000105	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	50	TRUE	671017	0.15725580684474	0.50254293506965	673	348	14841	21280000	17
20221019 000159	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	238	TRUE	671017	0.0565196822989383	0.54924321631901	2368	33	6765	25830000	18
20221019 000231	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	121	TRUE	671017	0.13949900582165	0.28863959540613	7893	430	12831	24180000	19
20221019 000246	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	47	TRUE	671017	0.198138930836285	0.836335877776146	3439	747	8419	25650000	20
20221019 000739	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1346	TRUE	671017	0.00521934988578579	0.309984756841255	3259	449	9089	25910000	21
20221019 001113	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	782	TRUE	671017	0.00517873617064485	0.787300726230745	2719	1023	9273	25860000	22
20221019 001150	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	219	TRUE	671017	0.0775136781221984	0.984228817930321	2387	16	8003	26720000	23
20221019 001415	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1114	TRUE	671017	0.0130648364850026	0.997715362540218	1983	16	8099	26610000	24
20221019 001436	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	48	TRUE	671017	0.183646823392777	0.997428222747864	7994	16	7860	25160000	25
20221019 001502	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	110	TRUE	671017	0.116488685872141	0.998906851515274	2080	16	8258	27010000	26
20221019 001514	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	28	TRUE	671017	0.274730651407882	0.997508773852716	1856	16	8193	26100000	27
20221019 001532	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	82	TRUE	671017	0.134662814803531	0.999753131387048	1953	16	8581	26440000	28
20221019 001548	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	66	TRUE	671017	0.108203670495194	0.85259533189055	805	16	7652	26860000	29
20221019 001611	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	104	TRUE	671017	0.299911097506203	0.999771793005694	3234	1023	6674	24500000	30
20221019 001626	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	49	TRUE	671017	0.109962419152025	0.914855003094831	2387	17	7939	26530000	31
20221019 001647	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	54	TRUE	671017	0.0866896510394438	0.944726927077082	791	55	8222	26520000	32
